layer,head,query_count,mean_full_norm,mean_top90_norm,mean_tail10_norm,mean_top90_cond_norm,mean_tail10_cond_norm,mean_top90_mass,mean_tail10_mass,mean_top90_token_count,mean_tail10_token_count,cos_full_top90,cos_full_tail10,cos_top90_tail10,cos_full_top90_cond,cos_full_tail10_cond,cos_top90_cond_tail10_cond,mean_l2_full_minus_top90,mean_l2_full_minus_tail10,mean_reconstruction_error
1,13,5000,0.3708024007320404,0.3534825847148895,0.026648585730791093,0.3927257844924927,0.2666722626686096,0.9000657890319824,0.09993214398622513,1032.1096,6468.3904,0.9984064702033997,0.6664119157791137,0.6250215133666992,0.9984064916610718,0.6664119089126587,0.6250215134620667,0.026645909905433654,0.3534798157215118,3.4967052553838584e-06
1,14,5000,0.7029610308647156,0.6921262289047241,0.024985295215249063,0.7557520492553711,0.2976425852775574,0.9108618810653687,0.08915153176784515,179.2374,7321.2626,0.9991042949676514,0.44010876512527464,0.4071021912097931,0.9991042949676514,0.4401087629318237,0.40710219202041625,0.024985101160407065,0.6921260623931885,3.593939481561392e-07
1,15,5000,0.4940715182304382,0.467998060131073,0.035383188033103946,0.5198569902420044,0.35459820685386656,0.9001826877593995,0.09982254228591919,656.5224,6843.9776,0.9988704643249512,0.7245513682365418,0.6936084513664246,0.9988704627990722,0.7245513697624206,0.6936084589958191,0.03537683634161949,0.4679911521911621,8.630689757410438e-06
2,0,5000,0.7168816230773926,0.7076237391471862,0.037672524750232694,0.7842963094711304,0.38381162400245666,0.9016000671386719,0.09839757833480835,164.7912,7335.7088,0.998422031211853,0.26843738136291506,0.21779068393707277,0.998422031211853,0.2684373802661896,0.2177906831741333,0.03767227545380592,0.7076236198425293,3.0104469815341873e-07
2,1,5000,0.7050101274490357,0.6968686851501464,0.03977440556883812,0.771925895690918,0.40842964658737185,0.9023271213531494,0.0976707450389862,106.6328,7393.8672,0.9982768245697021,0.23354601693153382,0.17974602336883544,0.9982768199920654,0.23354601726531982,0.17974602184295654,0.039774246090650556,0.6968686134338379,2.0018345705921092e-07
2,2,5000,0.43235917592048645,0.4177282301902771,0.03408308156728745,0.46385075273513793,0.3420240902423859,0.9003184642791748,0.09968426768779755,341.6878,7158.8122,0.9957431162834167,0.4624851997375488,0.3910823709487915,0.9957431162834167,0.46248519439697267,0.3910823671340942,0.03408314169049263,0.41772812209129334,2.164742063905578e-06
2,3,5000,0.49448354563713076,0.482160364151001,0.03477926399707794,0.5350384735107422,0.3499039882183075,0.9005420907974243,0.09945512918233872,335.8326,7164.6674,0.9950395431518555,0.3748279458999634,0.2995088743209839,0.9950395308494567,0.3748279436588287,0.2995088762283325,0.034779179871082304,0.48216008648872377,2.3685435189690908e-06
2,4,5000,0.9066498138427734,0.901840229511261,0.024351893424987794,0.9941369777679443,0.2621371701002121,0.9046182806015015,0.09538298704624176,246.4626,7254.0374,0.9995075301170349,0.1943989678144455,0.1677813965201378,0.9995075377464294,0.19439896965026857,0.16778139940500258,0.024351430839300154,0.9018398454666138,1.0308528060704702e-06
2,5,5000,0.758118567276001,0.7533027943611145,0.024376757913827898,0.8291093121528625,0.2642622275352478,0.9042185402870179,0.09577420486211777,527.501,6972.999,0.9990363204956054,0.1903002732038498,0.15294210340976716,0.9990363204956054,0.19030027449131012,0.1529421032190323,0.0243756489276886,0.7533013077735901,2.645144307462033e-06
2,6,5000,0.6694174302101136,0.6427388014793396,0.04174739547967911,0.7135507399559021,0.42065056524276734,0.9006847436904907,0.0993122101187706,176.464,7324.036,0.9987563528060913,0.6568030181884765,0.619646203994751,0.9987563559532165,0.6568030166625977,0.6196462116241455,0.04174708411097527,0.6427385633468627,3.9957410924671423e-07
2,7,5000,0.5721897219657898,0.5509415070533752,0.036680796611309054,0.6120457214355469,0.3672956341743469,0.900119077205658,0.09987644354104996,611.9168,6888.5832,0.9984649159431458,0.5999798451423645,0.5572853276252746,0.9984649158477783,0.5999798528671265,0.55728532371521,0.0366781902551651,0.550938213968277,4.205788584658876e-06
2,8,5000,0.5882210371494293,0.5782905797481537,0.024665946409106253,0.6395027853012085,0.2561258701562881,0.9015428920745849,0.09845956423282623,1099.1146,6401.3854,0.9984174188613891,0.38294105892181396,0.33716261405944825,0.9984174203872681,0.38294105892181396,0.3371626148223877,0.02466438219845295,0.5782886505126953,2.598096895235358e-06
2,9,5000,1.2076224235534667,1.202897517967224,0.022124015519022943,1.28016339302063,0.37210583086013793,0.9333810689926147,0.0666308440208435,112.4042,7388.0958,0.9996878705978394,0.20958445737361908,0.19052538533210756,0.9996878644943238,0.20958445813655854,0.19052538685798645,0.022123743760585787,1.2028972890853882,4.4517408434785467e-07
