condition,seed,bucket,sense_class,dominant_route_expert,best_function_expert,dominant_route_ce_delta,max_ce_delta,route_function_alignment
flat_uniform,20260522,middle,C_family_0,0,0,0.22467522615564423,0.22467522615564423,1.0
flat_uniform,20260522,middle,C_family_1,0,0,0.24544441660024555,0.24544441660024555,1.0
flat_uniform,20260522,middle,C_family_2,0,0,0.13878971463176035,0.13878971463176035,1.0
flat_uniform,20260522,middle,C_family_3,0,0,0.11387713514826223,0.11387713514826223,1.0
flat_uniform,20260522,middle,C_family_4,0,0,0.5233327575970179,0.5233327575970179,1.0
flat_uniform,20260522,middle,C_family_5,0,0,0.05052540206937313,0.05052540206937313,1.0
flat_uniform,20260522,middle,C_family_6,0,0,0.13985818027625402,0.13985818027625402,1.0
flat_uniform,20260522,middle,C_family_7,0,0,0.28324417667924234,0.28324417667924234,1.0
flat_uniform,20260522,middle,r_family_0,3,3,0.22195562000282126,0.22195562000282126,1.0
flat_uniform,20260522,middle,r_family_1,0,3,0.0,0.11023012408380359,0.0
flat_uniform,20260522,middle,r_family_2,3,3,0.7582210134175208,0.7582210134175208,1.0
flat_uniform,20260522,middle,r_family_3,0,3,0.0,0.22787822743824412,0.0
flat_uniform,20260522,middle,r_family_4,0,3,0.0,0.4394290692313613,0.0
flat_uniform,20260522,middle,r_family_5,0,3,0.0,0.22515835498173448,0.0
flat_uniform,20260522,middle,r_family_6,0,3,0.0,0.32845372241778625,0.0
flat_uniform,20260522,middle,r_family_7,0,3,0.0,0.22506055032984779,0.0
flat_uniform,20260522,tail,A_family_0,0,0,0.20516874498328735,0.20516874498328735,1.0
flat_uniform,20260522,tail,A_family_1,0,0,0.28125957102505106,0.28125957102505106,1.0
flat_uniform,20260522,tail,A_family_2,0,0,0.2857968436728697,0.2857968436728697,1.0
flat_uniform,20260522,tail,A_family_3,0,0,0.06852403555846345,0.06852403555846345,1.0
flat_uniform,20260522,tail,A_family_4,0,0,0.44688700825766625,0.44688700825766625,1.0
flat_uniform,20260522,tail,A_family_5,0,0,0.16659510428386662,0.16659510428386662,1.0
flat_uniform,20260522,tail,A_family_6,0,0,0.0809802532045675,0.0809802532045675,1.0
flat_uniform,20260522,tail,A_family_7,0,3,0.04733796315122163,0.7379182652866803,0.06415068629969593
flat_uniform,20260522,tail,C_family_0,0,0,0.31820715012266493,0.31820715012266493,1.0
flat_uniform,20260522,tail,C_family_1,0,0,0.30082137407832005,0.30082137407832005,1.0
flat_uniform,20260522,tail,C_family_2,0,0,0.18561986406105765,0.18561986406105765,1.0
flat_uniform,20260522,tail,C_family_3,0,0,0.10283795977860184,0.10283795977860184,1.0
flat_uniform,20260522,tail,C_family_4,0,0,0.5176433051528875,0.5176433051528875,1.0
flat_uniform,20260522,tail,C_family_5,0,0,0.05431519616710527,0.05431519616710527,1.0
flat_uniform,20260522,tail,C_family_6,0,0,0.09003634518376202,0.09003634518376202,1.0
flat_uniform,20260522,tail,C_family_7,0,0,0.4759648306632395,0.4759648306632395,1.0
flat_uniform,20260522,tail,r_family_0,0,3,0.0,0.2587686292584597,0.0
flat_uniform,20260522,tail,r_family_1,0,3,0.0,0.10475088320526993,0.0
flat_uniform,20260522,tail,r_family_2,3,3,0.5754862049810374,0.5754862049810374,1.0
flat_uniform,20260522,tail,r_family_3,3,3,0.11368221606608131,0.11368221606608131,1.0
flat_uniform,20260522,tail,r_family_4,0,3,0.0,0.3869313385184796,0.0
flat_uniform,20260522,tail,r_family_5,3,3,0.16779275082808454,0.16779275082808454,1.0
flat_uniform,20260522,tail,r_family_6,0,3,0.0,0.3149035049682425,0.0
flat_uniform,20260522,tail,r_family_7,3,3,0.09942853921287073,0.09942853921287073,1.0
flat_uniform,20260523,head,A_family_0,3,3,0.11095592537882719,0.11095592537882719,1.0
flat_uniform,20260523,head,A_family_1,2,3,0.0,0.1747904892824105,0.0
flat_uniform,20260523,head,A_family_2,3,3,0.04748960443672937,0.04748960443672937,1.0
flat_uniform,20260523,head,A_family_3,2,3,0.0,0.14200359185027384,0.0
flat_uniform,20260523,head,A_family_4,3,3,0.13450812258088263,0.13450812258088263,1.0
flat_uniform,20260523,head,A_family_5,3,3,0.28322532255697297,0.28322532255697297,1.0
flat_uniform,20260523,head,A_family_6,2,3,0.0,0.10382772104640026,0.0
flat_uniform,20260523,head,A_family_7,0,3,0.0,0.1834869453571931,0.0
flat_uniform,20260523,head,C_family_0,0,0,0.4274295364727247,0.4274295364727247,1.0
flat_uniform,20260523,head,C_family_1,0,0,1.648916600758336,1.648916600758336,1.0
flat_uniform,20260523,head,C_family_2,0,0,0.014044789176599199,0.014044789176599199,1.0
flat_uniform,20260523,head,C_family_3,0,0,0.04194127727290227,0.04194127727290227,1.0
flat_uniform,20260523,head,C_family_4,2,3,0.0,0.026906024014654882,0.0
flat_uniform,20260523,head,C_family_5,0,0,0.9996027649212921,0.9996027649212921,1.0
flat_uniform,20260523,head,C_family_6,2,0,0.0,0.11571278994476111,0.0
flat_uniform,20260523,head,C_family_7,0,0,0.197915366973272,0.197915366973272,1.0
flat_uniform,20260523,head,r_family_0,0,0,1.090487631019035,1.090487631019035,1.0
flat_uniform,20260523,head,r_family_1,2,0,0.0,0.03882233203694341,0.0
flat_uniform,20260523,head,r_family_2,2,2,1.4540882537354871,1.4540882537354871,1.0
flat_uniform,20260523,head,r_family_3,2,2,0.05855585377139505,0.05855585377139505,1.0
flat_uniform,20260523,head,r_family_4,2,3,0.0,0.599209301050602,0.0
