condition,seed,bucket,sense_class,S_sense,S_sense_expert
flat_zipfian,20260522,head,C_family_2,0.0,1
flat_zipfian,20260522,head,C_family_3,0.0,1
flat_zipfian,20260522,head,C_family_4,0.0,1
flat_zipfian,20260522,head,C_family_5,0.0,1
flat_zipfian,20260522,head,C_family_6,0.0,1
flat_zipfian,20260522,head,C_family_7,0.0,1
flat_zipfian,20260522,head,r_family_0,0.009842983966639962,0
flat_zipfian,20260522,head,r_family_1,0.0,1
flat_zipfian,20260522,head,r_family_2,0.0,1
flat_zipfian,20260522,head,r_family_3,0.0,1
flat_zipfian,20260522,head,r_family_4,0.0,1
flat_zipfian,20260522,head,r_family_5,0.0,1
flat_zipfian,20260522,head,r_family_6,0.0,1
flat_zipfian,20260522,head,r_family_7,0.0,1
flat_zipfian,20260522,middle,A_family_0,0.0,1
flat_zipfian,20260522,middle,A_family_1,0.0,1
flat_zipfian,20260522,middle,A_family_2,0.0,1
flat_zipfian,20260522,middle,A_family_3,0.21322313311641983,3
flat_zipfian,20260522,middle,A_family_4,0.0,1
flat_zipfian,20260522,middle,A_family_5,0.0,1
flat_zipfian,20260522,middle,A_family_6,0.0,1
flat_zipfian,20260522,middle,A_family_7,0.0,1
flat_zipfian,20260522,middle,C_family_0,0.0,1
flat_zipfian,20260522,middle,C_family_1,0.000345452666200193,2
flat_zipfian,20260522,middle,C_family_2,0.0,1
flat_zipfian,20260522,middle,C_family_3,0.0,1
flat_zipfian,20260522,middle,C_family_4,0.0,1
flat_zipfian,20260522,middle,C_family_5,0.15640726447812403,0
flat_zipfian,20260522,middle,C_family_6,0.0,1
flat_zipfian,20260522,middle,C_family_7,0.0,1
flat_zipfian,20260522,middle,r_family_0,0.0,1
flat_zipfian,20260522,middle,r_family_1,0.0,1
flat_zipfian,20260522,middle,r_family_2,0.0,1
flat_zipfian,20260522,middle,r_family_3,0.0,1
flat_zipfian,20260522,middle,r_family_4,0.0,1
flat_zipfian,20260522,middle,r_family_5,0.0,1
flat_zipfian,20260522,middle,r_family_6,0.0,1
flat_zipfian,20260522,middle,r_family_7,0.0,1
flat_zipfian,20260522,tail,A_family_0,0.0,1
flat_zipfian,20260522,tail,A_family_1,0.0,1
flat_zipfian,20260522,tail,A_family_2,0.0,1
flat_zipfian,20260522,tail,A_family_3,1.1993644829623613,3
flat_zipfian,20260522,tail,A_family_4,0.0,1
flat_zipfian,20260522,tail,A_family_5,0.0,1
flat_zipfian,20260522,tail,A_family_6,0.0,1
flat_zipfian,20260522,tail,A_family_7,0.0,1
flat_zipfian,20260522,tail,C_family_0,0.0,1
flat_zipfian,20260522,tail,C_family_1,0.0,1
flat_zipfian,20260522,tail,C_family_2,0.0,1
flat_zipfian,20260522,tail,C_family_3,0.0,1
flat_zipfian,20260522,tail,C_family_4,0.0,1
flat_zipfian,20260522,tail,C_family_5,0.0,1
flat_zipfian,20260522,tail,C_family_6,0.0,1
flat_zipfian,20260522,tail,C_family_7,0.0,1
flat_zipfian,20260522,tail,r_family_0,0.0,1
flat_zipfian,20260522,tail,r_family_1,0.0002297437543650933,2
flat_zipfian,20260522,tail,r_family_2,0.010181459215042876,0
flat_zipfian,20260522,tail,r_family_3,0.0,1
flat_zipfian,20260522,tail,r_family_4,0.0,1
flat_zipfian,20260522,tail,r_family_5,0.0,1
flat_zipfian,20260522,tail,r_family_6,0.0,1
flat_zipfian,20260522,tail,r_family_7,0.0,1
flat_zipfian,20260523,head,A_family_0,0.0,0
flat_zipfian,20260523,head,A_family_1,0.0,0
flat_zipfian,20260523,head,A_family_2,0.0,0
flat_zipfian,20260523,head,A_family_3,0.0,0
flat_zipfian,20260523,head,A_family_4,0.0,0
flat_zipfian,20260523,head,A_family_5,0.0,0
flat_zipfian,20260523,head,A_family_6,0.0,0
flat_zipfian,20260523,head,A_family_7,0.3128733911386612,2
flat_zipfian,20260523,head,C_family_0,0.0,0
flat_zipfian,20260523,head,C_family_1,0.0,0
flat_zipfian,20260523,head,C_family_2,0.0,0
flat_zipfian,20260523,head,C_family_3,0.0,0
flat_zipfian,20260523,head,C_family_4,0.0,0
flat_zipfian,20260523,head,C_family_5,0.0,0
flat_zipfian,20260523,head,C_family_6,0.0,0
flat_zipfian,20260523,head,C_family_7,0.0,0
flat_zipfian,20260523,head,r_family_0,0.0,0
flat_zipfian,20260523,head,r_family_1,0.02129169130785158,1
flat_zipfian,20260523,head,r_family_2,0.0,0
flat_zipfian,20260523,head,r_family_3,0.0,0
flat_zipfian,20260523,head,r_family_4,0.0,0
flat_zipfian,20260523,head,r_family_5,0.0,0
flat_zipfian,20260523,head,r_family_6,0.0,0
flat_zipfian,20260523,head,r_family_7,0.0,0
flat_zipfian,20260523,middle,A_family_0,0.0,0
flat_zipfian,20260523,middle,A_family_1,0.0,0
flat_zipfian,20260523,middle,A_family_2,0.0,0
flat_zipfian,20260523,middle,A_family_3,0.0,0
flat_zipfian,20260523,middle,A_family_4,0.0,0
flat_zipfian,20260523,middle,A_family_5,0.0,0
flat_zipfian,20260523,middle,A_family_6,0.0,0
flat_zipfian,20260523,middle,A_family_7,0.4782893837624822,2
flat_zipfian,20260523,middle,C_family_0,0.0,0
flat_zipfian,20260523,middle,C_family_1,0.0,0
flat_zipfian,20260523,middle,C_family_2,0.0,0
flat_zipfian,20260523,middle,C_family_3,0.0,0
flat_zipfian,20260523,middle,C_family_4,0.0,0
flat_zipfian,20260523,middle,C_family_5,0.0,0
flat_zipfian,20260523,middle,C_family_6,0.0,0
flat_zipfian,20260523,middle,C_family_7,0.0,0
flat_zipfian,20260523,middle,r_family_0,0.0,0
flat_zipfian,20260523,middle,r_family_1,0.02875544254129636,1
flat_zipfian,20260523,middle,r_family_2,0.0,0
flat_zipfian,20260523,middle,r_family_3,0.0,0
flat_zipfian,20260523,middle,r_family_4,0.0,0
flat_zipfian,20260523,middle,r_family_5,0.0,0
flat_zipfian,20260523,middle,r_family_6,0.0,0
flat_zipfian,20260523,middle,r_family_7,0.0,0
flat_zipfian,20260523,tail,A_family_0,0.0,0
flat_zipfian,20260523,tail,A_family_1,0.0,0
flat_zipfian,20260523,tail,A_family_2,0.0,0
flat_zipfian,20260523,tail,A_family_3,0.0,0
flat_zipfian,20260523,tail,A_family_4,0.0,0
flat_zipfian,20260523,tail,A_family_5,0.33862929157718713,2
flat_zipfian,20260523,tail,A_family_6,0.0,0
flat_zipfian,20260523,tail,A_family_7,0.0,0
flat_zipfian,20260523,tail,C_family_0,0.0,0
flat_zipfian,20260523,tail,C_family_1,0.0,0
flat_zipfian,20260523,tail,C_family_2,0.0,0
flat_zipfian,20260523,tail,C_family_3,0.0,0
flat_zipfian,20260523,tail,C_family_4,0.0,0
flat_zipfian,20260523,tail,C_family_5,0.0,0
flat_zipfian,20260523,tail,C_family_6,0.0,0
flat_zipfian,20260523,tail,C_family_7,0.0,0
flat_zipfian,20260523,tail,r_family_0,0.0,0
flat_zipfian,20260523,tail,r_family_1,0.0,0
flat_zipfian,20260523,tail,r_family_2,0.0,0
flat_zipfian,20260523,tail,r_family_3,0.0,0
flat_zipfian,20260523,tail,r_family_4,0.0,0
flat_zipfian,20260523,tail,r_family_5,0.0,0
flat_zipfian,20260523,tail,r_family_6,0.0,0
flat_zipfian,20260523,tail,r_family_7,1.2891936427179946,1
flat_zipfian,20260524,head,A_family_0,0.0,0
flat_zipfian,20260524,head,A_family_1,0.0,0
flat_zipfian,20260524,head,A_family_2,0.0,0
flat_zipfian,20260524,head,A_family_3,0.0,0
flat_zipfian,20260524,head,A_family_4,0.0,0
flat_zipfian,20260524,head,A_family_5,0.0,0
flat_zipfian,20260524,head,A_family_6,0.6908656288615018,1
flat_zipfian,20260524,head,A_family_7,0.0,0
flat_zipfian,20260524,head,C_family_0,0.0,0
flat_zipfian,20260524,head,C_family_1,0.0,0
flat_zipfian,20260524,head,C_family_2,0.0,0
flat_zipfian,20260524,head,C_family_3,0.0,0
flat_zipfian,20260524,head,C_family_4,0.0,0
flat_zipfian,20260524,head,C_family_5,0.0,0
flat_zipfian,20260524,head,C_family_6,0.0,0
flat_zipfian,20260524,head,C_family_7,0.0,0
flat_zipfian,20260524,head,r_family_0,0.0,0
flat_zipfian,20260524,head,r_family_1,0.0,0
