step,tokens,loss,model
2560,335544320,4.811,old_baseline_4e_top1
2570,336855040,4.7646,old_baseline_4e_top1
2580,338165760,4.788,old_baseline_4e_top1
2590,339476480,4.705,old_baseline_4e_top1
2600,340787200,4.7099,old_baseline_4e_top1
2610,342097920,4.7671,old_baseline_4e_top1
2620,343408640,4.7216,old_baseline_4e_top1
2630,344719360,4.5671,old_baseline_4e_top1
2640,346030080,4.5667,old_baseline_4e_top1
2650,347340800,4.7143,old_baseline_4e_top1
2660,348651520,4.6896,old_baseline_4e_top1
2670,349962240,4.6939,old_baseline_4e_top1
2680,351272960,4.6009,old_baseline_4e_top1
2690,352583680,4.7083,old_baseline_4e_top1
2700,353894400,4.5505,old_baseline_4e_top1
2710,355205120,4.625,old_baseline_4e_top1
2720,356515840,4.6803,old_baseline_4e_top1
2730,357826560,4.6204,old_baseline_4e_top1
2740,359137280,4.6438,old_baseline_4e_top1
2750,360448000,4.7021,old_baseline_4e_top1
2760,361758720,4.6232,old_baseline_4e_top1
2770,363069440,4.619,old_baseline_4e_top1
2780,364380160,4.6265,old_baseline_4e_top1
2790,365690880,4.6484,old_baseline_4e_top1
2800,367001600,4.6838,old_baseline_4e_top1
2810,368312320,4.6709,old_baseline_4e_top1
2820,369623040,4.6747,old_baseline_4e_top1
2830,370933760,4.6112,old_baseline_4e_top1
2840,372244480,4.6095,old_baseline_4e_top1
2850,373555200,4.6522,old_baseline_4e_top1
2860,374865920,4.6448,old_baseline_4e_top1
2870,376176640,4.5794,old_baseline_4e_top1
2880,377487360,4.5721,old_baseline_4e_top1
2890,378798080,4.4796,old_baseline_4e_top1
2900,380108800,4.5561,old_baseline_4e_top1
2910,381419520,4.6093,old_baseline_4e_top1
2920,382730240,4.6341,old_baseline_4e_top1
2930,384040960,4.5859,old_baseline_4e_top1
2940,385351680,4.6342,old_baseline_4e_top1
2950,386662400,4.62,old_baseline_4e_top1
2960,387973120,4.5881,old_baseline_4e_top1
2970,389283840,4.5405,old_baseline_4e_top1
2980,390594560,4.5735,old_baseline_4e_top1
2990,391905280,4.6096,old_baseline_4e_top1
3000,393216000,4.5696,old_baseline_4e_top1
3010,394526720,4.6195,old_baseline_4e_top1
3020,395837440,4.5626,old_baseline_4e_top1
3030,397148160,4.4954,old_baseline_4e_top1
3040,398458880,4.5578,old_baseline_4e_top1
3050,399769600,4.5294,old_baseline_4e_top1
3060,401080320,4.6123,old_baseline_4e_top1
3070,402391040,4.56,old_baseline_4e_top1
3080,403701760,4.5268,old_baseline_4e_top1
3090,405012480,4.5591,old_baseline_4e_top1
3100,406323200,4.5622,old_baseline_4e_top1
3110,407633920,4.562,old_baseline_4e_top1
3120,408944640,4.6033,old_baseline_4e_top1
3130,410255360,4.5023,old_baseline_4e_top1
3140,411566080,4.5547,old_baseline_4e_top1
3150,412876800,4.5586,old_baseline_4e_top1
3160,414187520,4.5546,old_baseline_4e_top1
3170,415498240,4.5043,old_baseline_4e_top1
