OVERALL_FRONTIER
group,block,method,samples,score,token,e2e_speed,attn_upper
ruler16k,2048,top3,24,0.9583,0.2993,1.550,3.3
ruler16k,2048,top4,24,1.0000,0.3584,1.429,2.8
ruler16k,2048,top6,24,1.0000,0.4789,1.302,2.1
ruler16k,2048,top8,24,1.0000,0.5322,1.194,1.9

OVERALL_RECOMMENDATIONS
group,full_score,best_score,best_block,best_k,best_token,best_e2e,best_attn,min_ge_full,min_ge_98full,min_ge_95full
longbench,0.2465,0.3294,128,12,0.155,1.58,6.4,b128_top6@0.109,b128_top6@0.109,b128_top6@0.109
ruler4k,1.0000,1.0000,256,3,0.306,1.33,3.3,b256_top3@0.306,b256_top3@0.306,b128_top3@0.228
ruler8k,1.0000,1.0000,256,3,0.153,1.70,6.5,b256_top3@0.153,b256_top3@0.153,b128_top3@0.112
ruler16k,0.8750,1.0000,512,3,0.107,1.96,9.3,b64_top4@0.048,b64_top4@0.048,b64_top3@0.045

PER_TASK_RECOMMENDATIONS
benchmark,task,full,best_score,best_block,best_k,best_token,best_e2e,best_attn,min_ge_full,min_ge_98full,min_ge_95full
longbench,2wikimqa,0.0000,0.6667,256,2,0.153,1.50,6.5,b32_top1@0.084,b32_top1@0.084,b32_top1@0.084
longbench,gov_report,0.1548,0.1329,32,12,0.046,1.47,21.9,,,
longbench,hotpotqa,0.6667,0.6667,128,6,0.090,2.34,11.1,b128_top6@0.090,b128_top6@0.090,b128_top6@0.090
longbench,multi_news,0.1502,0.1836,256,1,0.398,1.04,2.5,b32_top1@0.286,b32_top1@0.286,b32_top1@0.286
longbench,musique,0.0000,0.3333,32,1,0.036,2.57,27.8,b32_top1@0.036,b32_top1@0.036,b32_top1@0.036
longbench,passage_count,0.0000,0.3333,32,12,0.045,2.17,22.4,b32_top1@0.045,b32_top1@0.045,b32_top1@0.045
longbench,passage_retrieval_en,1.0000,1.0000,1024,1,0.139,1.92,7.2,b1024_top1@0.139,b1024_top1@0.139,b1024_top1@0.139
longbench,qasper,0.0000,0.0000,32,1,0.156,1.28,6.4,b32_top1@0.156,b32_top1@0.156,b32_top1@0.156
ruler_4096,cwe,1.0000,1.0000,64,1,0.120,1.40,8.4,b64_top1@0.120,b64_top1@0.120,b64_top1@0.120
ruler_4096,fwe,1.0000,1.0000,32,12,0.148,1.29,6.7,b32_top1@0.148,b32_top1@0.148,b32_top1@0.148
ruler_4096,niah_multikey_1,1.0000,1.0000,256,3,0.349,1.19,2.9,b256_top3@0.349,b256_top3@0.349,b256_top3@0.349
ruler_4096,niah_multiquery,1.0000,1.0000,64,1,0.168,1.28,5.9,b64_top1@0.168,b64_top1@0.168,b64_top1@0.168
ruler_4096,niah_multivalue,1.0000,1.0000,32,1,0.154,1.28,6.5,b32_top1@0.154,b32_top1@0.154,b32_top1@0.154
ruler_4096,niah_single_1,1.0000,1.0000,32,12,0.174,1.38,5.7,b32_top3@0.174,b32_top3@0.174,b32_top3@0.174
ruler_4096,niah_single_2,1.0000,1.0000,64,2,0.184,1.26,5.4,b64_top2@0.184,b64_top2@0.184,b64_top2@0.184
ruler_4096,vt,1.0000,1.0000,128,3,0.255,1.25,3.9,b128_top3@0.255,b128_top3@0.255,b128_top3@0.255
ruler_8192,cwe,1.0000,1.0000,64,1,0.056,1.95,17.7,b64_top1@0.056,b64_top1@0.056,b64_top1@0.056
ruler_8192,fwe,1.0000,1.0000,32,12,0.074,1.64,13.4,b32_top1@0.074,b32_top1@0.074,b32_top1@0.074
ruler_8192,niah_multikey_1,1.0000,1.0000,128,2,0.109,1.56,9.2,b128_top2@0.109,b128_top2@0.109,b128_top2@0.109
ruler_8192,niah_multiquery,1.0000,1.0000,64,2,0.096,1.59,10.4,b64_top2@0.096,b64_top2@0.096,b64_top2@0.096
ruler_8192,niah_multivalue,1.0000,1.0000,32,2,0.084,1.61,11.9,b32_top2@0.084,b32_top2@0.084,b32_top2@0.084
ruler_8192,niah_single_1,1.0000,1.0000,32,12,0.082,1.69,12.2,b32_top3@0.082,b32_top3@0.082,b32_top3@0.082
ruler_8192,niah_single_2,1.0000,1.0000,256,2,0.134,1.58,7.5,b256_top2@0.134,b256_top2@0.134,b256_top2@0.134
ruler_8192,vt,1.0000,1.0000,128,3,0.124,1.59,8.1,b128_top3@0.124,b128_top3@0.124,b128_top3@0.124
ruler_16384,cwe,0.0000,1.0000,32,2,0.028,0.00,35.4,b32_top1@0.026,b32_top1@0.026,b32_top1@0.026
ruler_16384,fwe,1.0000,1.0000,32,12,0.038,2.45,26.4,b32_top1@0.038,b32_top1@0.038,b32_top1@0.038
ruler_16384,niah_multikey_1,1.0000,1.0000,64,3,0.048,2.49,20.8,b64_top3@0.048,b64_top3@0.048,b64_top3@0.048
ruler_16384,niah_multiquery,1.0000,1.0000,64,3,0.050,2.48,20.0,b64_top3@0.050,b64_top3@0.050,b64_top3@0.050
ruler_16384,niah_multivalue,1.0000,1.0000,32,2,0.040,2.48,25.3,b32_top2@0.040,b32_top2@0.040,b32_top2@0.040
ruler_16384,niah_single_1,1.0000,1.0000,256,2,0.069,2.79,14.5,b256_top2@0.069,b256_top2@0.069,b256_top2@0.069
ruler_16384,niah_single_2,1.0000,1.0000,32,16,0.070,2.38,14.2,b32_top16@0.070,b32_top16@0.070,b32_top16@0.070
ruler_16384,vt,1.0000,1.0000,256,3,0.084,2.39,12.0,b256_top3@0.084,b256_top3@0.084,b256_top3@0.084
