benchmark,task,method,samples,exact_accuracy,avg_rouge_l,avg_score,avg_prompt_tokens,token_ratio_vs_full_raw,avg_seconds,speedup_vs_full_raw
ruler_16384,fwe,router_safe,1,1,0.125,1.0,1581,0.09907256548439654,4.075185175985098,2.342255057599325
ruler_16384,niah_multikey_1,full_raw,1,1,0.05,1.0,16009,1.0,9.611043340992182,1.0
ruler_16384,niah_multikey_1,recent_plus_retrieval_raw_k2,1,1,0.052631578947368425,1.0,3186,0.1990130551564745,4.625804652925581,2.0777019485493615
ruler_16384,niah_multikey_1,recent_plus_span_top3_b0_a0,1,1,0.05,1.0,3647,0.22780935723655443,4.803806558251381,2.0007140638258067
ruler_16384,niah_multikey_1,recent_plus_summary1_4,1,0,0.0,0.0,4447,0.277781248047973,5.069848933257163,1.895725783453965
ruler_16384,niah_multikey_1,router_safe,1,1,0.05,1.0,3647,0.22780935723655443,4.80385518213734,2.0006938129046636
ruler_16384,niah_multiquery,full_raw,1,1,0.16666666666666669,1.0,16032,1.0,9.616049128118902,1.0
ruler_16384,niah_multiquery,recent_plus_retrieval_raw_k2,1,1,0.15384615384615385,1.0,3210,0.2002245508982036,4.6742281299084425,2.0572485682908375
ruler_16384,niah_multiquery,recent_plus_span_top3_b0_a0,1,1,0.16666666666666669,1.0,3674,0.22916666666666666,4.791121563874185,2.00705596798575
ruler_16384,niah_multiquery,recent_plus_summary1_4,1,1,0.15384615384615385,1.0,4466,0.2785678642714571,5.074668867047876,1.8949116444937453
ruler_16384,niah_multiquery,router_safe,1,1,0.16666666666666669,1.0,3674,0.22916666666666666,4.786693549249321,2.008912630228219
ruler_16384,niah_multivalue,full_raw,1,1,0.16666666666666669,1.0,16009,1.0,9.634363809134811,1.0
ruler_16384,niah_multivalue,recent_plus_retrieval_raw_k2,1,1,0.08695652173913045,1.0,3177,0.19845087138484602,4.6360352439805865,2.0781472318710343
ruler_16384,niah_multivalue,recent_plus_span_top3_b0_a0,1,1,0.16666666666666669,1.0,3648,0.2278718221000687,4.811395819764584,2.0024051585109888
ruler_16384,niah_multivalue,recent_plus_summary1_4,1,0,0.0,0.0,4444,0.2775938534574302,5.075854740105569,1.8980771323125831
