step,loss,tokens,model
1880,5.1225,246415360,old_baseline_4e_top1
1890,5.1086,247726080,old_baseline_4e_top1
1900,5.1065,249036800,old_baseline_4e_top1
1910,5.1454,250347520,old_baseline_4e_top1
1920,5.1602,251658240,old_baseline_4e_top1
1930,5.1531,252968960,old_baseline_4e_top1
1940,5.1773,254279680,old_baseline_4e_top1
1950,5.1226,255590400,old_baseline_4e_top1
1960,5.0912,256901120,old_baseline_4e_top1
1970,5.0716,258211840,old_baseline_4e_top1
1980,4.9647,259522560,old_baseline_4e_top1
1990,5.1006,260833280,old_baseline_4e_top1
2000,5.1148,262144000,old_baseline_4e_top1
2010,5.0028,263454720,old_baseline_4e_top1
2020,5.008,264765440,old_baseline_4e_top1
2030,5.0726,266076160,old_baseline_4e_top1
2040,5.0518,267386880,old_baseline_4e_top1
2050,5.0677,268697600,old_baseline_4e_top1
2060,5.0542,270008320,old_baseline_4e_top1
2070,5.0099,271319040,old_baseline_4e_top1
2080,4.9695,272629760,old_baseline_4e_top1
2090,4.9671,273940480,old_baseline_4e_top1
2100,5.0233,275251200,old_baseline_4e_top1
2110,5.0443,276561920,old_baseline_4e_top1
2120,5.0737,277872640,old_baseline_4e_top1
2130,4.9544,279183360,old_baseline_4e_top1
2140,4.9689,280494080,old_baseline_4e_top1
2150,4.9459,281804800,old_baseline_4e_top1
2160,4.9535,283115520,old_baseline_4e_top1
2170,4.9206,284426240,old_baseline_4e_top1
2180,4.9214,285736960,old_baseline_4e_top1
2190,4.7623,287047680,old_baseline_4e_top1
2200,4.9562,288358400,old_baseline_4e_top1
2210,4.9462,289669120,old_baseline_4e_top1
2220,4.8818,290979840,old_baseline_4e_top1
2230,4.8744,292290560,old_baseline_4e_top1
2240,4.9463,293601280,old_baseline_4e_top1
2250,4.9594,294912000,old_baseline_4e_top1
2260,4.8847,296222720,old_baseline_4e_top1
2270,4.8487,297533440,old_baseline_4e_top1
2280,4.9132,298844160,old_baseline_4e_top1
2290,4.8653,300154880,old_baseline_4e_top1
2300,5.0178,301465600,old_baseline_4e_top1
2310,4.8808,302776320,old_baseline_4e_top1
2320,4.815,304087040,old_baseline_4e_top1
2330,4.9341,305397760,old_baseline_4e_top1
2340,4.876,306708480,old_baseline_4e_top1
2350,4.8717,308019200,old_baseline_4e_top1
2360,4.7677,309329920,old_baseline_4e_top1
2370,4.7904,310640640,old_baseline_4e_top1
2380,4.7383,311951360,old_baseline_4e_top1
2390,4.8058,313262080,old_baseline_4e_top1
2400,4.8082,314572800,old_baseline_4e_top1
2410,4.8495,315883520,old_baseline_4e_top1
2420,4.8351,317194240,old_baseline_4e_top1
2430,4.7818,318504960,old_baseline_4e_top1
2440,4.8521,319815680,old_baseline_4e_top1
2450,4.7326,321126400,old_baseline_4e_top1
2460,4.7424,322437120,old_baseline_4e_top1
2470,4.7912,323747840,old_baseline_4e_top1
2480,4.7427,325058560,old_baseline_4e_top1
2490,4.6767,326369280,old_baseline_4e_top1
2500,4.7728,327680000,old_baseline_4e_top1
2510,4.7433,328990720,old_baseline_4e_top1
2520,4.6966,330301440,old_baseline_4e_top1
2530,4.752,331612160,old_baseline_4e_top1
2540,4.7487,332922880,old_baseline_4e_top1
2550,4.8067,334233600,old_baseline_4e_top1
2560,4.811,335544320,old_baseline_4e_top1
2570,4.7646,336855040,old_baseline_4e_top1
2580,4.788,338165760,old_baseline_4e_top1
2590,4.705,339476480,old_baseline_4e_top1
2600,4.7099,340787200,old_baseline_4e_top1
2610,4.7671,342097920,old_baseline_4e_top1
2620,4.7216,343408640,old_baseline_4e_top1
2630,4.5671,344719360,old_baseline_4e_top1
2640,4.5667,346030080,old_baseline_4e_top1
2650,4.7143,347340800,old_baseline_4e_top1
2660,4.6896,348651520,old_baseline_4e_top1
2670,4.6939,349962240,old_baseline_4e_top1
2680,4.6009,351272960,old_baseline_4e_top1
2690,4.7083,352583680,old_baseline_4e_top1
2700,4.5505,353894400,old_baseline_4e_top1
2710,4.625,355205120,old_baseline_4e_top1
2720,4.6803,356515840,old_baseline_4e_top1
2730,4.6204,357826560,old_baseline_4e_top1
2740,4.6438,359137280,old_baseline_4e_top1
2750,4.7021,360448000,old_baseline_4e_top1
2760,4.6232,361758720,old_baseline_4e_top1
2770,4.619,363069440,old_baseline_4e_top1
