group,head,layer,mean_vector_norm,pc1_energy_ratio,pc1_mean,pc1_std,pc2_energy_ratio,pc2_mean,pc2_std,pc3_energy_ratio,pc3_mean,pc3_std,pc4_energy_ratio,pc4_mean,pc4_std,pc5_energy_ratio,pc5_mean,pc5_std,pc6_energy_ratio,pc6_mean,pc6_std,pc7_energy_ratio,pc7_mean,pc7_std,pc8_energy_ratio,pc8_mean,pc8_std,projection_norm_mean,representation,total_seen,vector_count
score_tail_10pct,3,0,2.212372064590454,0.30340367555618286,-0.00166453723795712,0.6300413012504578,0.15748289227485657,-0.007667660713195801,0.579260528087616,0.10268417745828629,-0.03963341563940048,0.5079538822174072,0.11857544630765915,-0.036236897110939026,0.5288494229316711,0.08478527516126633,-0.024503663182258606,0.42737385630607605,0.09503398090600967,0.010149126872420311,0.4207034707069397,0.08083783835172653,-0.03870107978582382,0.3491489291191101,0.05719674378633499,-0.011789578944444656,0.3401530683040619,1.2228189706802368,value,70579,4096
score_top_1pct,3,0,0.04249722138047218,0.37899547815322876,0.004244211595505476,0.12200771272182465,0.08822622150182724,0.0020502100232988596,0.09459877759218216,0.18094512820243835,-0.0027791059110313654,0.08110283315181732,0.05145823583006859,-0.001305309822782874,0.07163252681493759,0.16725817322731018,-0.0025493185967206955,0.0641787052154541,0.012665120884776115,0.0006569141987711191,0.0605602040886879,0.10950475186109543,-0.002216402208432555,0.058534275740385056,0.010946898721158504,0.0007273026276379824,0.05325423926115036,0.031075166538357735,weighted_value,7118,4096
score_top_90pct,3,0,0.0004923386732116342,0.38305002450942993,-0.0021774612832814455,0.007066617254167795,0.08398209512233734,-0.00108250486664474,0.007353811990469694,0.1844319999217987,0.0013441982446238399,0.005751039832830429,0.049474090337753296,0.0005624475888907909,0.01148301549255848,0.17064924538135529,0.0011696439469233155,0.013399191200733185,0.010420655831694603,-0.00031622868846170604,0.001536110183224082,0.11084692925214767,0.0011042284313589334,0.0004899962223134935,0.007144978269934654,-0.00044575665378943086,0.0105367973446846,0.003709068289026618,weighted_value,634573,4096
score_tail_10pct,3,0,6.92014544625974e-12,0.3829362094402313,-0.002066749846562743,2.2794775789147792e-10,0.0839531347155571,-0.0009677055641077459,3.4974534379728084e-10,0.18458618223667145,0.0014349089469760656,3.4928859804495005e-10,0.04947277531027794,0.0007428613025695086,1.1785240838779742e-10,0.17064906656742096,0.0013796744169667363,6.032905511960118e-12,0.010405347682535648,-0.00034068492823280394,2.91322382883763e-11,0.11089091747999191,0.0011121741263195872,3.532681647211433e-10,0.007106394041329622,-0.0002815459738485515,3.403017668004993e-12,0.003339831018820405,weighted_value,70579,4096
score_top_1pct,4,0,215.92015075683594,0.9321973919868469,-79.26223754882812,48.59016799926758,0.031455446034669876,-4.278926849365234,10.585477828979492,0.014549667946994305,-4.142127990722656,5.935022354125977,0.00899546779692173,-1.9771738052368164,5.4965434074401855,0.0038307327777147293,2.205458641052246,3.3677918910980225,0.003852955996990204,-0.14634940028190613,3.9804935455322266,0.003940215799957514,-0.015323013067245483,4.05644416809082,0.0011781244538724422,0.051990579813718796,1.8458256721496582,90.70806884765625,key,7118,4096
score_top_90pct,4,0,278.41845703125,0.8101474642753601,-16.060651779174805,82.47090148925781,0.08265095949172974,-0.06279526650905609,15.963430404663086,0.027132222428917885,2.1679086685180664,9.516469955444336,0.023137159645557404,0.8451291918754578,9.048450469970703,0.02788829803466797,-3.821852922439575,9.315054893493652,0.012310353107750416,0.0922418013215065,5.610441207885742,0.012059392407536507,-0.06528808921575546,5.539021968841553,0.004674065392464399,0.09139560163021088,3.5777339935302734,80.5650405883789,key,634573,4096
score_tail_10pct,4,0,390.00372314453125,0.8549835085868835,95.3228530883789,38.728572845458984,0.07550455629825592,4.341726779937744,20.697832107543945,0.018190499395132065,1.9742193222045898,11.401349067687988,0.019962139427661896,1.1320452690124512,12.705641746520996,0.011753175407648087,1.6163949966430664,9.281370162963867,0.007532570511102676,0.05410769209265709,6.9784464836120605,0.007796701975166798,0.0806112289428711,6.72509241104126,0.004276856780052185,-0.14338627457618713,5.029117584228516,101.8455810546875,key,70579,4096
score_top_1pct,4,0,1.0856895446777344,0.8708837032318115,0.5724533796310425,0.328562468290329,0.028335362672805786,0.04171202331781387,0.11865000426769257,0.018846804276108742,0.01511281169950962,0.11022834479808807,0.021047741174697876,0.008340654894709587,0.0967354029417038,0.022112909704446793,0.0024302424862980843,0.11154404282569885,0.0140267638489604,-0.0007716669933870435,0.0854916051030159,0.017134709283709526,-0.01874144934117794,0.10000235587358475,0.007611938752233982,0.0017875302582979202,0.06256613880395889,0.6974918842315674,value,7118,4096
score_top_90pct,4,0,1.401180624961853,0.6067916750907898,0.07436046004295349,0.5809476375579834,0.07287091761827469,-0.012555224820971489,0.22535847127437592,0.056293487548828125,-0.04010439291596413,0.20145851373672485,0.06627273559570312,-0.03898394852876663,0.1741677224636078,0.07118035107851028,0.019059855490922928,0.20488739013671875,0.049897197633981705,-0.0019174604676663876,0.17085227370262146,0.045369137078523636,0.006117664743214846,0.1816622018814087,0.03132456913590431,-0.000322938896715641,0.15442350506782532,0.7287806868553162,value,634573,4096
score_tail_10pct,4,0,1.947859525680542,0.5132101774215698,-0.6468138694763184,0.2656390070915222,0.0988694578409195,-0.029156800359487534,0.32960671186447144,0.06287530064582825,0.024991583079099655,0.31054508686065674,0.06951923668384552,0.030643297359347343,0.2988353371620178,0.06237097084522247,-0.021490097045898438,0.26916277408599854,0.06828047335147858,0.0026891250163316727,0.2885427474975586,0.06563979387283325,0.01262379065155983,0.26406657695770264,0.05923455208539963,-0.0014645896153524518,0.2853989005088806,0.9990952014923096,value,70579,4096
score_top_1pct,4,0,0.018196552991867065,0.5676049590110779,0.005687627475708723,0.035483941435813904,0.02528882957994938,0.00012331173638813198,0.02844456024467945,0.024601144716143608,-0.0005536647513508797,0.0264503825455904,0.08725395798683167,0.0013790865195915103,0.025608139112591743,0.1869325339794159,0.003121004905551672,0.023004630580544472,0.02887224592268467,-0.0008169757202267647,0.021726636216044426,0.02651856280863285,-0.0009119095047935843,0.019377298653125763,0.05292773246765137,0.0011653149267658591,0.018419845029711723,0.013281385414302349,weighted_value,7118,4096
score_top_90pct,4,0,0.00032939674565568566,0.6828321814537048,-0.0027949311770498753,0.0021056581754237413,0.0008616733830422163,-5.5529486417071894e-05,0.00021549579105339944,0.006729875225573778,0.00027801404939964414,0.0007332746172323823,0.03932158276438713,-0.0006925083580426872,0.00284466496668756,0.2088775783777237,-0.001527758315205574,0.0007092097657732666,0.01434582844376564,0.00040110383997671306,0.00044173572678118944,0.017144933342933655,0.0004573923069983721,0.0014449837617576122,0.029886389151215553,-0.0005736039020121098,0.00037595845060423017,0.0035011544823646545,weighted_value,634573,4096
score_tail_10pct,4,0,1.8275073121465368e-10,0.6865658164024353,-0.0028926958329975605,7.128024837044222e-10,0.00037697164225392044,-6.778228271286935e-05,5.7989984342254886e-11,0.006234404630959034,0.00027565081836655736,6.284568698777804e-11,0.03867730498313904,-0.0006865781033411622,1.2126330495298987e-10,0.20827746391296387,-0.0015932469395920634,4.699967082189005e-10,0.014190428890287876,0.00041587185114622116,6.146663733552771e-11,0.016950279474258423,0.0004545171104837209,5.813122899711587e-11,0.028727352619171143,-0.0005917110829614103,1.6867388041852394e-10,0.0034910961985588074,weighted_value,70579,4096
score_top_1pct,5,0,236.91665649414062,0.904417097568512,65.45735168457031,70.63322448730469,0.03987376391887665,-3.7826738357543945,12.535173416137695,0.023292740806937218,-5.404958248138428,8.015026092529297,0.010414492338895798,1.799140214920044,6.28617525100708,0.009097185917198658,-2.119675397872925,5.567538261413574,0.005403454415500164,0.24094414710998535,4.537688732147217,0.0055427816696465015,0.10730820894241333,4.596672534942627,0.001958560198545456,-0.030227893963456154,2.510230541229248,93.92877197265625,key,7118,4096
score_top_90pct,5,0,278.78619384765625,0.8152357935905457,22.843549728393555,82.63269805908203,0.08170431852340698,0.24687746167182922,16.13117218017578,0.024520963430404663,2.240892171859741,9.431002616882324,0.02453760802745819,-0.9430179595947266,8.898945808410645,0.026868626475334167,3.274266481399536,9.263543128967285,0.011479120701551437,0.08642005175352097,5.617325305938721,0.011090937070548534,-0.1386631429195404,5.547865390777588,0.00456262519583106,0.05338464304804802,3.5415570735931396,82.45049285888672,key,634573,4096
score_tail_10pct,5,0,390.1594543457031,0.8361658453941345,-88.30089569091797,39.18763732910156,0.0799541175365448,3.5357892513275146,20.28513526916504,0.021228890866041183,3.1640655994415283,11.445871353149414,0.025190599262714386,-0.8561220169067383,12.987720489501953,0.015234929509460926,-1.1545917987823486,9.9141845703125,0.008681483566761017,-0.32736435532569885,6.993057727813721,0.008354172110557556,0.031354472041130066,6.688551425933838,0.005189926363527775,-0.02315695956349373,5.079082489013672,95.626708984375,key,70579,4096
score_top_1pct,5,0,1.1942152976989746,0.810269296169281,0.4665302038192749,0.5043709874153137,0.04111555963754654,0.035800348967313766,0.16322167217731476,0.027443215250968933,0.0058179739862680435,0.14770860970020294,0.03417041897773743,0.001616684952750802,0.14217369258403778,0.027197152376174927,0.000522052519954741,0.14680662751197815,0.02492719516158104,-0.012787457555532455,0.1276962161064148,0.015732383355498314,0.0056001897901296616,0.10238733887672424,0.019144784659147263,-0.007974175736308098,0.11606742441654205,0.7592542171478271,value,7118,4096
score_top_90pct,5,0,1.4048963785171509,0.6103640198707581,0.12125273793935776,0.5847365856170654,0.0722467228770256,-0.00814889743924141,0.22369137406349182,0.05043787509202957,-0.030289970338344574,0.2048269510269165,0.08835957944393158,-0.03984741121530533,0.2073407769203186,0.05212767422199249,0.004796415567398071,0.19162674248218536,0.05042235180735588,-0.003272127825766802,0.18036501109600067,0.03719146549701691,-0.00389182660728693,0.15956832468509674,0.038850247859954834,0.001961848232895136,0.16922727227210999,0.745215654373169,value,634573,4096
