layer,head,representation,left_group,right_group,centroid_cosine,centroid_l2,left_centroid_norm,right_centroid_norm
0,9,weighted_value,score_tail_10pct,score_top_1pct,0.09903787076473236,0.006996868643909693,1.298712470898522e-09,0.006996870040893555
0,9,weighted_value,score_tail_10pct,score_top_90pct,0.030646827071905136,0.0004423004575073719,1.298712470898522e-09,0.0004423007776495069
0,10,key,score_top_1pct,score_top_90pct,0.9976809620857239,16.149982452392578,188.14833068847656,197.5523223876953
0,10,key,score_tail_10pct,score_top_1pct,0.9957842826843262,35.349971771240234,218.20611572265625,188.14833068847656
0,10,key,score_tail_10pct,score_top_90pct,0.9994766116142273,21.71887969970703,218.20611572265625,197.5523223876953
0,10,value,score_top_1pct,score_top_90pct,0.8128765821456909,0.2653658390045166,0.4382719099521637,0.42877766489982605
0,10,value,score_tail_10pct,score_top_1pct,0.35306644439697266,0.7315651178359985,0.7605852484703064,0.4382719099521637
0,10,value,score_tail_10pct,score_top_90pct,0.7634097337722778,0.5142090320587158,0.7605852484703064,0.42877766489982605
0,10,weighted_value,score_top_1pct,score_top_90pct,0.5630882978439331,0.007383543066680431,0.007482251618057489,0.00017789921548683196
0,10,weighted_value,score_tail_10pct,score_top_1pct,0.6838611960411072,0.007482240442186594,1.597902432592946e-08,0.007482251618057489
0,10,weighted_value,score_tail_10pct,score_top_90pct,-0.02640916407108307,0.00017789965204428881,1.597902432592946e-08,0.00017789921548683196
0,11,key,score_top_1pct,score_top_90pct,0.9967480897903442,21.831491470336914,182.73721313476562,198.26100158691406
0,11,key,score_tail_10pct,score_top_1pct,0.9922630190849304,40.5373649597168,214.91738891601562,182.73721313476562
0,11,key,score_tail_10pct,score_top_90pct,0.9987698793411255,19.551515579223633,214.91738891601562,198.26100158691406
0,11,value,score_top_1pct,score_top_90pct,0.35156211256980896,0.6287739872932434,0.6387989521026611,0.4188138246536255
0,11,value,score_tail_10pct,score_top_1pct,-0.18432801961898804,1.1619272232055664,0.8599403500556946,0.6387989521026611
0,11,value,score_tail_10pct,score_top_90pct,0.7412505745887756,0.6172295212745667,0.8599403500556946,0.4188138246536255
0,11,weighted_value,score_top_1pct,score_top_90pct,0.9362317323684692,0.0038671859074383974,0.00410288292914629,0.0002528404293116182
0,11,weighted_value,score_tail_10pct,score_top_1pct,-0.18230104446411133,0.00410289503633976,6.681328557078814e-08,0.00410288292914629
0,11,weighted_value,score_tail_10pct,score_top_90pct,-0.22263623774051666,0.00025285527226515114,6.681328557078814e-08,0.0002528404293116182
0,12,key,score_top_1pct,score_top_90pct,0.9982410073280334,56.02931213378906,222.2488555908203,276.3157958984375
0,12,key,score_tail_10pct,score_top_1pct,0.9964897036552429,168.35682678222656,388.7942199707031,222.2488555908203
0,12,key,score_tail_10pct,score_top_90pct,0.9991817474365234,113.25713348388672,388.7942199707031,276.3157958984375
0,12,value,score_top_1pct,score_top_90pct,0.93318110704422,0.37838271260261536,0.9713343977928162,0.7604857683181763
0,12,value,score_tail_10pct,score_top_1pct,0.3117368817329407,1.0285643339157104,0.7568297386169434,0.9713343977928162
0,12,value,score_tail_10pct,score_top_90pct,0.6039637923240662,0.6752015352249146,0.7568297386169434,0.7604857683181763
0,12,weighted_value,score_top_1pct,score_top_90pct,0.34678587317466736,0.011756482534110546,0.011920126155018806,0.0004987266729585826
0,12,weighted_value,score_tail_10pct,score_top_1pct,1.6276449969154783e-05,0.011920126155018806,2.2794624261052165e-13,0.011920126155018806
0,12,weighted_value,score_tail_10pct,score_top_90pct,1.1314476068946533e-05,0.0004987266729585826,2.2794624261052165e-13,0.0004987266729585826
0,13,key,score_top_1pct,score_top_90pct,0.9973822236061096,85.47908782958984,191.90573120117188,275.7485656738281
0,13,key,score_tail_10pct,score_top_1pct,0.994615375995636,199.56036376953125,389.43927001953125,191.90573120117188
0,13,key,score_tail_10pct,score_top_90pct,0.9988640546798706,114.75875091552734,389.43927001953125,275.7485656738281
0,13,value,score_top_1pct,score_top_90pct,0.8930578231811523,0.5502660274505615,1.113835096359253,0.7674961090087891
0,13,value,score_tail_10pct,score_top_1pct,0.17009416222572327,1.2409110069274902,0.7683568596839905,1.113835096359253
0,13,value,score_tail_10pct,score_top_90pct,0.5634812116622925,0.7175238728523254,0.7683568596839905,0.7674961090087891
0,13,weighted_value,score_top_1pct,score_top_90pct,0.9946204423904419,0.014135072007775307,0.01440849807113409,0.0002749325067270547
0,13,weighted_value,score_tail_10pct,score_top_1pct,3.268082218710333e-05,0.01440849807113409,1.5990906515606085e-12,0.01440849807113409
0,13,weighted_value,score_tail_10pct,score_top_90pct,2.460851101204753e-05,0.0002749325067270547,1.5990906515606085e-12,0.0002749325067270547
0,14,key,score_top_1pct,score_top_90pct,0.9967764616012573,41.06191635131836,174.91358947753906,212.93946838378906
0,14,key,score_tail_10pct,score_top_1pct,0.9935070276260376,103.79377746582031,275.6460266113281,174.91358947753906
0,14,key,score_tail_10pct,score_top_90pct,0.9991884231567383,63.46163558959961,275.6460266113281,212.93946838378906
0,14,value,score_top_1pct,score_top_90pct,0.8566720485687256,0.13718841969966888,0.2557634711265564,0.18151694536209106
0,14,value,score_tail_10pct,score_top_1pct,0.10139930248260498,0.27492374181747437,0.130052849650383,0.2557634711265564
0,14,value,score_tail_10pct,score_top_90pct,0.42929425835609436,0.17202796041965485,0.130052849650383,0.18151694536209106
0,14,weighted_value,score_top_1pct,score_top_90pct,0.2646418809890747,0.003261833917349577,0.0033388028386980295,0.00036139757139608264
0,14,weighted_value,score_tail_10pct,score_top_1pct,0.002392193302512169,0.0033388028386980295,1.323489651205989e-10,0.0033388028386980295
0,14,weighted_value,score_tail_10pct,score_top_90pct,-5.2628456614911556e-05,0.00036139757139608264,1.323489651205989e-10,0.00036139757139608264
0,15,key,score_top_1pct,score_top_90pct,0.9957348108291626,46.800785064697266,171.39297485351562,214.71023559570312
0,15,key,score_tail_10pct,score_top_1pct,0.9912153482437134,105.89213562011719,273.3246765136719,171.39297485351562
0,15,key,score_tail_10pct,score_top_90pct,0.9989432692527771,59.66318130493164,273.3246765136719,214.71023559570312
0,15,value,score_top_1pct,score_top_90pct,0.8237740993499756,0.1655997633934021,0.2774653732776642,0.1768007129430771
0,15,value,score_tail_10pct,score_top_1pct,0.03495442122220993,0.3067501187324524,0.14085762202739716,0.2774653732776642
0,15,value,score_tail_10pct,score_top_90pct,0.45276138186454773,0.16896291077136993,0.14085762202739716,0.1768007129430771
0,15,weighted_value,score_top_1pct,score_top_90pct,0.2897408604621887,0.0030302442610263824,0.003118789754807949,0.0003820111451204866
0,15,weighted_value,score_tail_10pct,score_top_1pct,0.031159771606326103,0.0031187892891466618,2.2734312210559438e-09,0.003118789754807949
0,15,weighted_value,score_tail_10pct,score_top_90pct,0.013623824343085289,0.0003820110287051648,2.2734312210559438e-09,0.0003820111451204866
1,0,key,score_top_1pct,score_top_90pct,0.9955177903175354,9.855757713317871,104.20259094238281,103.6142578125
1,0,key,score_tail_10pct,score_top_1pct,0.9917064309120178,18.644893646240234,116.31023406982422,104.20259094238281
1,0,key,score_tail_10pct,score_top_90pct,0.9984949827194214,14.052225112915039,116.31023406982422,103.6142578125
1,0,value,score_top_1pct,score_top_90pct,0.8040127158164978,0.11989939957857132,0.201620414853096,0.16390185058116913
1,0,value,score_tail_10pct,score_top_1pct,0.051771290600299835,0.3663710355758667,0.31651970744132996,0.201620414853096
1,0,value,score_tail_10pct,score_top_90pct,0.27436891198158264,0.31397613883018494,0.31651970744132996,0.16390185058116913
1,0,weighted_value,score_top_1pct,score_top_90pct,0.45420539379119873,0.003346717217937112,0.003433928592130542,0.00020274864800740033
1,0,weighted_value,score_tail_10pct,score_top_1pct,0.040805041790008545,0.0034339269623160362,4.134719233661599e-08,0.003433928592130542
1,0,weighted_value,score_tail_10pct,score_top_90pct,-0.01696057990193367,0.0002027493464993313,4.134719233661599e-08,0.00020274864800740033
1,1,key,score_top_1pct,score_top_90pct,0.995507001876831,9.99410343170166,104.49394226074219,102.61538696289062
1,1,key,score_tail_10pct,score_top_1pct,0.9912561774253845,16.3787841796875,112.4205551147461,104.49394226074219
1,1,key,score_tail_10pct,score_top_90pct,0.9985315203666687,11.402664184570312,112.4205551147461,102.61538696289062
1,1,value,score_top_1pct,score_top_90pct,0.8251529932022095,0.1002611517906189,0.17174609005451202,0.16699984669685364
1,1,value,score_tail_10pct,score_top_1pct,0.160426065325737,0.28841227293014526,0.2608850598335266,0.17174609005451202
1,1,value,score_tail_10pct,score_top_90pct,0.33544662594795227,0.2583034038543701,0.2608850598335266,0.16699984669685364
1,1,weighted_value,score_top_1pct,score_top_90pct,0.4559306800365448,0.0024164896458387375,0.0024604019708931446,9.990284888772294e-05
1,1,weighted_value,score_tail_10pct,score_top_1pct,0.3382965922355652,0.002460366813465953,1.0371983449886102e-07,0.0024604019708931446
1,1,weighted_value,score_tail_10pct,score_top_90pct,0.07739895582199097,9.989488171413541e-05,1.0371983449886102e-07,9.990284888772294e-05
1,2,key,score_top_1pct,score_top_90pct,0.9986497759819031,7.86317777633667,150.34548950195312,151.05166625976562
1,2,key,score_tail_10pct,score_top_1pct,0.9966634511947632,12.379524230957031,151.4751739501953,150.34548950195312
1,2,key,score_tail_10pct,score_top_90pct,0.9993657469749451,5.403643608093262,151.4751739501953,151.05166625976562
1,2,value,score_top_1pct,score_top_90pct,0.9392655491828918,0.06860442459583282,0.19837404787540436,0.19479073584079742
1,2,value,score_tail_10pct,score_top_1pct,0.8436204195022583,0.10942865163087845,0.19243623316287994,0.19837404787540436
1,2,value,score_tail_10pct,score_top_90pct,0.941155195236206,0.06646136194467545,0.19243623316287994,0.19479073584079742
1,2,weighted_value,score_top_1pct,score_top_90pct,0.43763384222984314,0.0035499478690326214,0.0036191637627780437,0.00016527014668099582
1,2,weighted_value,score_tail_10pct,score_top_1pct,0.06298696249723434,0.0036191632971167564,7.235103627323269e-10,0.0036191637627780437
1,2,weighted_value,score_tail_10pct,score_top_90pct,0.023634111508727074,0.00016526991385035217,7.235103627323269e-10,0.00016527014668099582
1,3,key,score_top_1pct,score_top_90pct,0.9986104965209961,7.973797798156738,150.31866455078125,151.02317810058594
1,3,key,score_tail_10pct,score_top_1pct,0.9970779418945312,11.68856430053711,152.06097412109375,150.31866455078125
1,3,key,score_tail_10pct,score_top_90pct,0.9993043541908264,5.747170448303223,152.06097412109375,151.02317810058594
1,3,value,score_top_1pct,score_top_90pct,0.9100062847137451,0.08262009918689728,0.19671691954135895,0.19221995770931244
1,3,value,score_tail_10pct,score_top_1pct,0.7704796195030212,0.14246231317520142,0.21917058527469635,0.19671691954135895
1,3,value,score_tail_10pct,score_top_90pct,0.8761390447616577,0.10565325617790222,0.21917058527469635,0.19221995770931244
1,3,weighted_value,score_top_1pct,score_top_90pct,0.20651008188724518,0.004009758122265339,0.004050194285809994,0.00022512533178087324
1,3,weighted_value,score_tail_10pct,score_top_1pct,0.08414187282323837,0.0040501938201487064,1.2325402920509987e-09,0.004050194285809994
1,3,weighted_value,score_tail_10pct,score_top_90pct,0.032074399292469025,0.00022512501163873821,1.2325402920509987e-09,0.00022512533178087324
