layer,head,representation,component,singular_value,energy_ratio
0,6,key,2,1527.9725341796875,0.01878590955605081
0,6,key,3,1335.2686767578125,0.01434625196799081
0,6,key,4,1150.7293701171875,0.01065485459085469
0,6,key,5,842.68212890625,0.005713848212059495
0,6,key,6,575.7325439453125,0.0026671208223358576
0,6,key,7,567.0262451171875,0.0025870656731280537
0,6,key,8,521.40234375,0.0021874951043181854
0,6,value,1,61.93307113647461,0.11107748937248503
0,6,value,2,46.33616256713867,0.062175738181834854
0,6,value,3,42.00836181640625,0.051103696366744555
0,6,value,4,35.37726593017578,0.03624343526706141
0,6,value,5,32.45185852050781,0.030497200167347374
0,6,value,6,28.70853614807129,0.023867279503251043
0,6,value,7,27.290950775146484,0.02156841119237206
0,6,value,8,27.08127212524414,0.021238260568261415
0,6,weighted_value,1,0.2559669315814972,0.11449051858260154
0,6,weighted_value,2,0.21407070755958557,0.08007856589046025
0,6,weighted_value,3,0.18918173015117645,0.06254033219391979
0,6,weighted_value,4,0.17788685858249664,0.05529546686636863
0,6,weighted_value,5,0.15362899005413055,0.04124280064157683
0,6,weighted_value,6,0.14880585670471191,0.03869384136716445
0,6,weighted_value,7,0.1393308937549591,0.0339231867907525
0,6,weighted_value,8,0.12606865167617798,0.027772566403865395
0,7,key,1,9328.154296875,0.8847699438159484
0,7,key,2,1597.1317138671875,0.02593703843469193
0,7,key,3,1237.9222412109375,0.015582087912609574
0,7,key,4,1113.9586181640625,0.012617608101140374
0,7,key,5,880.6648559570312,0.007886063139763528
0,7,key,6,592.2158813476562,0.0035661451660909086
0,7,key,7,590.4591064453125,0.0035450190117070064
0,7,key,8,517.4042358398438,0.002722067424949943
0,7,value,1,57.47929000854492,0.09787344531290135
0,7,value,2,45.68507766723633,0.06182880056504358
0,7,value,3,42.867130279541016,0.054436589456071174
0,7,value,4,34.30950927734375,0.034871537768509556
0,7,value,5,33.205726623535156,0.03266390190521184
0,7,value,6,29.677621841430664,0.02609157403643303
0,7,value,7,27.71122932434082,0.022748547451633662
0,7,value,8,27.46712303161621,0.022349531930305293
0,7,weighted_value,1,4.496945381164551,0.1020006745126258
0,7,weighted_value,2,3.81439471244812,0.07338699106115504
0,7,weighted_value,3,3.4968671798706055,0.06167740487298876
0,7,weighted_value,4,3.259611129760742,0.053591930574610334
0,7,weighted_value,5,2.9168920516967773,0.0429149422334566
0,7,weighted_value,6,2.821420431137085,0.040151653241729195
0,7,weighted_value,7,2.6817307472229004,0.036274226543065016
0,7,weighted_value,8,2.601606607437134,0.03413902172623436
0,8,key,1,5467.56005859375,0.7991517031783869
0,8,key,2,1345.341552734375,0.04838460692820986
0,8,key,3,1022.4436645507812,0.027946078928380608
0,8,key,4,877.9334106445312,0.020604650795754683
0,8,key,5,729.6994018554688,0.014234102385542768
0,8,key,6,608.5079345703125,0.009898618713923685
0,8,key,7,597.1060791015625,0.009531145300218454
0,8,key,8,357.86431884765625,0.0034235675601655036
0,8,value,1,46.85175323486328,0.10153202941880733
0,8,value,2,36.02121353149414,0.06001613893179185
0,8,value,3,26.78379249572754,0.03318146187844045
0,8,value,4,23.907485961914062,0.0264374273555584
0,8,value,5,21.264678955078125,0.020915537658707246
0,8,value,6,20.639543533325195,0.019703870694082644
0,8,value,7,19.3558292388916,0.01732905725124056
0,8,value,8,18.625259399414062,0.016045602623849877
0,8,weighted_value,1,0.694508969783783,0.35650887314155705
0,8,weighted_value,2,0.48972541093826294,0.1772637382894393
0,8,weighted_value,3,0.27640873193740845,0.05647004610508621
0,8,weighted_value,4,0.2421238124370575,0.043330094120878196
0,8,weighted_value,5,0.19966794550418854,0.029466687930185302
0,8,weighted_value,6,0.1740863174200058,0.02239978768975802
0,8,weighted_value,7,0.16820000112056732,0.020910605749953612
0,8,weighted_value,8,0.15605320036411285,0.017999481072679825
0,9,key,1,5434.18505859375,0.7997120977750991
0,9,key,2,1216.2623291015625,0.040060773387850225
0,9,key,3,1003.8432006835938,0.0272895630110777
0,9,key,4,910.6748046875,0.02245905405533257
0,9,key,5,798.5908813476562,0.017270842024665663
0,9,key,6,613.0040283203125,0.010176336863060945
0,9,key,7,604.9497680664062,0.009910679847126595
0,9,key,8,363.05908203125,0.0035695989759201617
0,9,value,1,46.72062301635742,0.09820361420416757
0,9,value,2,32.19624328613281,0.04663592782037457
0,9,value,3,24.39633560180664,0.026776845860468957
0,9,value,4,23.099502563476562,0.02400576088978061
