condition,mode,seed,step,full_ntp_ce,target_ce,target_accuracy,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,assignment_utility_agreement,slot_center_norm_mean,slot_center_offdiag_cosine_mean,router_delta_from_init_mean,utility_best_by_slot
short_role_random_init,single_b_sanity,20260521,1000,0.04508223384618759,0.000751087864045985,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.062042236328125,-0.33018537362416583,0.20922237634658813,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1100,0.04491549730300903,0.0006420891295420006,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.07255744934082,-0.33014341195424396,0.20903779566287994,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1200,0.04489247997601827,0.0005569066343014129,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.074613094329834,-0.33011237780253094,0.20894461870193481,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1300,0.04497873658935229,0.00048625322961015627,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.074558258056641,-0.3300597270329793,0.20883062481880188,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1400,0.04487530762950579,0.00042748070700326934,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.071232795715332,-0.33002763986587524,0.20876777172088623,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1500,0.04504852990309397,0.00038011452852515504,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.072345733642578,-0.32999374469121295,0.20862415432929993,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260521,1600,0.04487081368764242,0.0003396280444576405,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,6.069532871246338,-0.32996487617492676,0.2085232138633728,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,single_b_sanity,20260522,0,7.962144692738851,7.370780944824219,0.0,1.000088900581841e-06,1.000088900581841e-06,0.25,0.5,0.4379948675632477,-0.25451048215230304,0.0,"{""0"": 0, ""1"": 1, ""2"": 0, ""3"": 1}"
short_role_random_init,single_b_sanity,20260522,100,0.04934403424461683,0.019019103376194835,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.901729583740234,-0.3329407374064128,0.1676795929670334,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0}"
short_role_random_init,single_b_sanity,20260522,200,0.04637578999002775,0.007154496852308512,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.818363189697266,-0.33296169837315875,0.17040766775608063,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0}"
short_role_random_init,single_b_sanity,20260522,300,0.04566494623819987,0.004172043292783201,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.8096771240234375,-0.3329564332962036,0.17169815301895142,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0}"
short_role_random_init,single_b_sanity,20260522,400,0.04534779116511345,0.00276771659264341,1.0,1.000088900581841e-06,1.000088900581841e-06,0.25,1.0,5.80393648147583,-0.3329598108927409,0.17254798114299774,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 0}"
