condition,mode,seed,step,full_ntp_ce,target_ce,target_accuracy,nmi_route_slot,nmi_route_b_id,best_perm_diag_purity,assignment_utility_agreement,slot_center_norm_mean,slot_center_offdiag_cosine_mean,router_delta_from_init_mean,utility_best_by_slot
short_role_random_init,multi_b_primary,20260521,1100,0.22582559287548065,0.013204596388277423,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.0766448974609375,-0.33229360977808636,0.280097633600235,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1200,0.2255031814177831,0.01125343486228303,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.082733154296875,-0.3325486183166504,0.28142431378364563,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1300,0.225564772884051,0.009473591570440476,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.0436530113220215,-0.33242319027582806,0.282967746257782,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1400,0.22545758386452994,0.00825759881763588,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.048048973083496,-0.33235305547714233,0.2845470905303955,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1500,0.22517954806486765,0.007206540244169446,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.063821792602539,-0.3324562907218933,0.28587818145751953,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260521,1600,0.22550139327843985,0.006451303414905851,1.0,1.000088900581841e-06,9.998109111448179e-07,0.25,1.0,5.065025806427002,-0.3326985239982605,0.28700894117355347,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}"
short_role_random_init,multi_b_primary,20260522,0,7.923611958821614,7.525853495579213,0.0,0.004467261123660897,0.3692184268520163,0.265625,0.5947265625,0.5976115465164185,-0.3281656702359517,0.0,"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 3}"
short_role_random_init,multi_b_primary,20260522,100,0.36392542719841003,4.126297421520576,0.36328125,1.000088900581841e-06,9.998063574956943e-07,0.25,1.0,2.0682384967803955,-0.32949719826380414,0.1926715075969696,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,multi_b_primary,20260522,200,0.26449528336524963,1.159042766870698,0.880859375,1.000088900581841e-06,9.998063574956943e-07,0.25,1.0,3.4727284908294678,-0.3315168221791585,0.23254650831222534,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,multi_b_primary,20260522,300,0.23691876232624054,0.32221514801494777,0.9931640625,1.000088900581841e-06,9.998063574956943e-07,0.25,1.0,4.6251044273376465,-0.33221503098805744,0.25471335649490356,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
short_role_random_init,multi_b_primary,20260522,400,0.23040211697419485,0.12922889501714963,1.0,1.000088900581841e-06,9.998063574956943e-07,0.25,1.0,5.122585296630859,-0.33252129952112836,0.26615381240844727,"{""0"": 3, ""1"": 3, ""2"": 3, ""3"": 3}"
