step   1350/5000  loss=4.8926  ppl=133.3  grad_norm=0.48  tok/s=4,031  tokens=44,236,800
step   1375/5000  loss=4.8817  ppl=131.8  grad_norm=0.52  tok/s=4,020  tokens=45,056,000
step   1400/5000  loss=4.8716  ppl=130.5  grad_norm=0.61  tok/s=4,029  tokens=45,875,200
step   1425/5000  loss=4.8682  ppl=130.1  grad_norm=0.56  tok/s=4,023  tokens=46,694,400
step   1450/5000  loss=4.8668  ppl=129.9  grad_norm=0.49  tok/s=4,026  tokens=47,513,600
step   1475/5000  loss=4.8513  ppl=127.9  grad_norm=0.50  tok/s=4,025  tokens=48,332,800
step   1500/5000  loss=4.8673  ppl=130.0  grad_norm=0.48  tok/s=4,025  tokens=49,152,000
step   1525/5000  loss=4.8592  ppl=128.9  grad_norm=0.49  tok/s=4,034  tokens=49,971,200
step   1550/5000  loss=4.8205  ppl=124.0  grad_norm=0.46  tok/s=4,024  tokens=50,790,400
step   1575/5000  loss=4.8376  ppl=126.2  grad_norm=0.46  tok/s=4,027  tokens=51,609,600
step   1600/5000  loss=4.8139  ppl=123.2  grad_norm=0.48  tok/s=4,029  tokens=52,428,800
step   1625/5000  loss=4.8136  ppl=123.2  grad_norm=0.48  tok/s=4,027  tokens=53,248,000
step   1650/5000  loss=4.8037  ppl=122.0  grad_norm=0.49  tok/s=4,025  tokens=54,067,200
step   1675/5000  loss=4.8006  ppl=121.6  grad_norm=0.46  tok/s=4,030  tokens=54,886,400
step   1700/5000  loss=4.7917  ppl=120.5  grad_norm=0.55  tok/s=4,028  tokens=55,705,600
step   1725/5000  loss=4.8194  ppl=123.9  grad_norm=0.47  tok/s=4,001  tokens=56,524,800
step   1750/5000  loss=4.7915  ppl=120.5  grad_norm=0.49  tok/s=4,018  tokens=57,344,000
step   1775/5000  loss=4.7814  ppl=119.3  grad_norm=0.47  tok/s=4,031  tokens=58,163,200
step   1800/5000  loss=4.7745  ppl=118.4  grad_norm=0.46  tok/s=4,016  tokens=58,982,400
step   1825/5000  loss=4.7458  ppl=115.1  grad_norm=0.52  tok/s=4,025  tokens=59,801,600
step   1850/5000  loss=4.7835  ppl=119.5  grad_norm=0.43  tok/s=4,037  tokens=60,620,800
step   1875/5000  loss=4.7458  ppl=115.1  grad_norm=0.51  tok/s=4,024  tokens=61,440,000
step   1900/5000  loss=4.7408  ppl=114.5  grad_norm=0.46  tok/s=4,030  tokens=62,259,200
step   1925/5000  loss=4.7290  ppl=113.2  grad_norm=0.55  tok/s=4,027  tokens=63,078,400
step   1950/5000  loss=4.7150  ppl=111.6  grad_norm=0.50  tok/s=4,007  tokens=63,897,600
step   1975/5000  loss=4.7484  ppl=115.4  grad_norm=0.47  tok/s=4,032  tokens=64,716,800
step   2000/5000  loss=4.7385  ppl=114.3  grad_norm=0.49  tok/s=4,030  tokens=65,536,000
  → saved checkpoint: /Users/bytedance/kv_cache/fdong_embedding_dim/outputs/small_lm_crs/crs_alpha0_3/checkpoints/step_2000.pt
step   2025/5000  loss=4.7222  ppl=112.4  grad_norm=0.47  tok/s=3,988  tokens=66,355,200
step   2050/5000  loss=4.7349  ppl=113.8  grad_norm=0.52  tok/s=4,032  tokens=67,174,400
step   2075/5000  loss=4.7304  ppl=113.3  grad_norm=0.46  tok/s=4,030  tokens=67,993,600
step   2100/5000  loss=4.7213  ppl=112.3  grad_norm=0.45  tok/s=4,037  tokens=68,812,800
step   2125/5000  loss=4.7111  ppl=111.2  grad_norm=0.48  tok/s=4,034  tokens=69,632,000
step   2150/5000  loss=4.7073  ppl=110.8  grad_norm=0.50  tok/s=4,021  tokens=70,451,200
step   2175/5000  loss=4.7209  ppl=112.3  grad_norm=0.50  tok/s=4,023  tokens=71,270,400
step   2200/5000  loss=4.6841  ppl=108.2  grad_norm=0.45  tok/s=4,018  tokens=72,089,600
step   2225/5000  loss=4.6805  ppl=107.8  grad_norm=0.46  tok/s=4,030  tokens=72,908,800
